Location_ID,DBA Name,Street_Address,City,State,Zip_Code,latitude,longitude
0014885-03-001,2381-87 OCEAN AV BLDG,2381 OCEAN AVE,San Francisco,CA,94127, -122.46937988799999,37.729974156000026
0014885-04-001,2403-05 OCEAN AV BLDG,2403 OCEAN AVE,San Francisco,CA,94127, -122.46977051199997,37.730134323000073
0014885-05-001,2419 41ST AV BLDG,2419 41ST AVE,San Francisco,CA,94116, -122.49926431699998,37.741588
0014942-01-001,JOHNSON-LEVIE & LEHRMAN,5 3RD ST 900,San Francisco,CA,94103, -122.40339962499996,37.787561950000054
0014946-01-001,MAHARAM FABRIC CORP,463 JACKSON ST,San Francisco,CA,94111, -122.40271954099995,37.796493361000046
0015031-02-001,118 STEINER STREET APT,118 STEINER ST,San Francisco,CA,94117, -122.43176480099999,37.770415791000062
0015031-03-001,501-505 WALLER ST BLDG,501 WALLER ST,San Francisco,CA,94117, -122.43204595799995,37.770933165000031
0015031-04-001,150-156 STEINER ST BLDG,150 STEINER ST,San Francisco,CA,94117, -122.43182587199999,37.770806414000049
0015031-05-001,114 STEINER STREET APT,114 STEINER ST,San Francisco,CA,94117, -122.43175558299998,37.770355872000039
0015032-01-001,"JONES SCHILLER & CO, LLP",507 POLK ST 300,San Francisco,CA,94102, -122.41889266099997,37.781492676000028
0015037-01-001,WYLIE JONES FURNITURE CO,72A LOMBARD ST,San Francisco,CA,94111, -122.40298431799999,37.804102525000076
0015048-01-001,SAM JORDANS BAR,4004 3RD ST,San Francisco,CA,94124, -122.38868213599994,37.740961163000065
0015092-01-001,JUG SHOP INC,1590 PACIFIC AVE,San Francisco,CA,94108, -122.42135469399994,37.795091036000031
0015150-01-001,K & G JEWELERS,5520 GEARY BLVD,San Francisco,CA,94121, -122.47877098499998,37.780438338000067
0015188-01-001,KAHN ZEL R & SONS,1200 GOUGH ST 900,San Francisco,CA,94109, -122.42451579599998,37.784707542000035
0015188-02-001,355 BRANNAN ST BUILDING,1200 GOUGH ST 900,San Francisco,CA,94109, -122.42451579599998,37.784707542000035
0015229-01-001,KAPLAN MCLAUGHLIN DIAZ,222 VALLEJO ST,San Francisco,CA,94111, -122.40141990699999,37.799534918000063
0015229-04-001,KMD,222 VALLEJO ST,San Francisco,CA,94111, -122.40141990699999,37.799534918000063
0015229-05-001,KMD JUSTICE,222 VALLEJO ST,San Francisco,CA,94111, -122.40141990699999,37.799534918000063
0015229-06-001,KMD ARCHITECTS,222 VALLEJO ST,San Francisco,CA,94111, -122.40141990699999,37.799534918000063
0015256-01-001,KARPMAN STEPHEN,4333 CALIFORNIA ST,San Francisco,CA,94118, -122.46409782899997,37.784822770000062
0015256-02-001,3267-3273 25TH ST APTS,3267 25TH ST,San Francisco,CA,94110, -122.41542774899995,37.750783213000034
0015256-04-001,751 38TH AVE APTS,751 38TH AVE,San Francisco,CA,94121, -122.49833442599999,37.774718411000038
0015256-05-001,DOMESTIC VIOLENCE TRTMNT SVCS,4333 CALIFORNIA ST,San Francisco,CA,94118, -122.46409782899997,37.784822770000062
0015256-06-001,SEXUAL OFFENDERS TREATMNT SVCS,4333 CALIFORNIA ST,San Francisco,CA,94118, -122.46409782899997,37.784822770000062
0015256-07-001,TRANSACTIONAL ANALYSIS INSTITU,4333 CALIFORNIA ST,San Francisco,CA,94118, -122.46409782899997,37.784822770000062
0015256-08-001,ALCOHOLIC/COALC TRMNT&TRNG INS,4333 CALIFORNIA ST,San Francisco,CA,94118, -122.46409782899997,37.784822770000062
0015256-09-001,PACIFIC BAY RENTALS,4333 CALIFORNIA ST,San Francisco,CA,94118, -122.46409782899997,37.784822770000062
0015258-01-001,LAUTZE & LAUTZE,303 2ND ST 950,San Francisco,CA,94107, -122.39635057099997,37.78529405
0015260-01-001,GUTTMANN & BLAEVOET,2351 POWELL ST,San Francisco,CA,94133, -122.41206308599999,37.806293237000034
0015273-01-001,KATZ COMMUNICATIONS INC,100 SPEAR ST 1900,San Francisco,CA,94105, -122.39380863799994,37.792307993000065
0015273-02-001,SENTRY RADIO SALES,100 SPEAR ST 1900,San Francisco,CA,94105, -122.39380863799994,37.792307993000065
0015281-01-001,KAUFERS RELIGIOUS SUPPLIES,1455 CUSTER AVE,San Francisco,CA,94124, -122.38841365399998,37.744825916000025
0015285-01-001,KAUFMAN STEPHEN,3905 SACRAMENTO ST 205,San Francisco,CA,94118, -122.45726594999996,37.786853091000069
0015310-01-001,KAYES FOOTWEAR INC,1043 GRANT AVE,San Francisco,CA,94133, -122.40676374199995,37.796594481000056
0015352-02-002,ST FRANCIS OPTHALMOLOGY GROUP,2001 UNION ST 480,San Francisco,CA,94123, -122.43253567699998,37.797443713000064
0015366-01-001,KEIL & CONNOLLY,244 KEARNY ST,San Francisco,CA,94108, -122.40390608299998,37.7903687
0015408-01-001,KELLY TEMP SERVICES,1 POST ST 2150,San Francisco,CA,94104, -122.40211543699996,37.789082756000028
0015408-01-004,KELLY TEMP SERVICES,333 3RD ST,San Francisco,CA,94107, -122.39828896399996,37.783299593000038
0015408-01-005,KELLY TEMP SERVICES,50 CALIFORNIA ST 2320,San Francisco,CA,94111, -122.39722284899995,37.793577807000077
0015408-01-006,KELLY TEMP SERVICES,530 DAVIS ST,San Francisco,CA,94111, -122.39834120999996,37.79731961
0015408-01-007,KELLY TEMP SERVICES,201 MISSION ST 1330,San Francisco,CA,94105, -122.39509112699994,37.791716872000052
0015408-01-008,KELLY TEMP SERVICES,55 2ND STREET 1925,San Francisco,CA,94105, -122.40042158299997,37.7885239
0015408-01-009,KELLY TEMP SERVICES,2211 POST RD 202,San Francisco,CA,94115, -122.43826597499998,37.784463258000073
0015408-02-001,KELLY TEMP SERVICES,1 MARKET ST 300,San Francisco,CA,94105, -122.39493095999995,37.794347532000074
0015410-01-001,KELLY MOORE PAINT CO INC,364 DIVISADERO ST,San Francisco,CA,94117, -122.43731934099998,37.772795047000045
0015410-01-002,KELLY MOORE PAINT CO INC,565 S VAN NESS AVE,San Francisco,CA,94110, -122.41737510499996,37.764293717000044
0015410-01-003,KELLY MOORE PAINT CO INC,1020 HARRISON ST,San Francisco,CA,94103, -122.40476914199996,37.776793670000075
0015410-01-004,KELLY MOORE PAINT CO INC,445 TARAVAL ST,San Francisco,CA,94116, -122.47102880399996,37.743233463000024
0015410-02-001,KELLY MOORE PAINT CO INC,701 BAYSHORE BLVD,San Francisco,CA,94124, -122.40662892499995,37.73588306
0015410-03-001,KELLY PAINT CO INC,101 HENRY ADAMS ST 212,San Francisco,CA,94103, -122.40375513399999,37.767553523000061
0015442-02-001,KENNEDY VAN & STORAGE,2015 MCKINNON ST,San Francisco,CA,94124, -122.39700391499997,37.740215637000063
0015442-02-002,KENNEDY VAN & STORAGE,2225 MCKINNON AVE,San Francisco,CA,94124, -122.40144365699996,37.742765636000058
0015442-03-001,KENNEDY VAN & STORAGE,2015 MCKINNON ST,San Francisco,CA,94124, -122.39700391499997,37.740215637000063
0015442-04-001,A,2015 MCKINNON AVE,San Francisco,CA,94124, -122.39700391499997,37.740215637000063
0015442-05-001,Z BEST STORAGE,2015 MCKINNON AVE,San Francisco,CA,94124, -122.39700391499997,37.740215637000063
0015455-01-001,ARDEN WOOD INC,400 WEST PORTAL AVE,San Francisco,CA,94127, -122.47066287999996,37.73652607
0015460-02-001,KENTUCKY FRIED CHICKEN,1900 IRVING ST,San Francisco,CA,94122, -122.47836077299996,37.763527450000026
0015470-03-001,231-239 WEST PORTAL BLDG,231 WEST PORTAL AVE,San Francisco,CA,94127, -122.46824028199995,37.738647381000078
0015490-01-001,AKCO INVESTMENT INC,800 TENNESSEE ST,San Francisco,CA,94107, -122.38963648699996,37.761632358000043
0015508-01-001,KEYSTON BROS,1501 CUSTER AVE,San Francisco,CA,94124, -122.38928843499997,37.745319963000043
0015540-02-001,KIKKOMAN SALES USA INC,50 CALIFORNIA ST #3600,San Francisco,CA,94111, -122.39722284899995,37.793577807000077
0015543-01-001,KILGER C A MACHINE WORKS INC,3030 20TH ST,San Francisco,CA,94110, -122.41122192099999,37.759138408000069
0015575-01-001,KIMURA FRAMING GALLERY INC,1933 OCEAN AVE,San Francisco,CA,94127, -122.46302044499998,37.725524043000064
0015582-02-001,SFPARTY,939 POST ST,San Francisco,CA,94109, -122.41732555699997,37.787133095000058
0015582-03-001,CITY SLUSH,939 POST ST,San Francisco,CA,94109, -122.41732555699997,37.787133095000058
0015582-04-001,CERFCO,939 POST ST,San Francisco,CA,94109, -122.41732555699997,37.787133095000058
0015662-01-001,KCA ENGINEERS INC,318 BRANNAN ST,San Francisco,CA,94107, -122.39258837099999,37.781443128000035
0015681-01-001,KITTREDGE SCHOOL INC,2355 LAKE ST,San Francisco,CA,94121, -122.48496795699998,37.785733073000074
0015697-01-001,KLEIN & CO,611 CLEMENT ST,San Francisco,CA,94118, -122.46566927199996,37.782855786000027
0015697-02-001,670 9TH AV APARTMENTS,670 9TH AVE,San Francisco,CA,94118, -122.46709491399997,37.775772749000055
0015697-07-001,633 CLEMENT ST BUILDING,633 CLEMENT ST,San Francisco,CA,94118, -122.46604864199998,37.782832779000046
0015697-08-001,609 CLEMENT ST BLDG(LAND),609 CLEMENT ST,San Francisco,CA,94118, -122.46575826699996,37.78285352
0015697-09-001,3132 CLEMENT ST BUILDING,3132 CLEMENT ST,San Francisco,CA,94121, -122.49291063499999,37.781667823000078
0015697-10-001,480 8TH AVE APARTMENTS,480 8TH AVE,San Francisco,CA,94118, -122.46627448899994,37.779412807000028
0015697-11-001,144-150 CARL ST.APARTMENTS,150 CARL ST,San Francisco,CA,94111, -122.45127047999995,37.76564394
0015756-01-001,KNIGHTS OF COLUMBUS HALL ASSN,2800 TARAVAL ST,San Francisco,CA,94116, -122.49625109999999,37.742158384000049
